2026-06-25 12:18:55 +02:00: 🚀 Dialfire Sync Script Started
2026-06-25 12:18:55 +02:00:    Campaign: GENS85UE5SU4SSC7
2026-06-25 12:18:55 +02:00:    Webhook: http://localhost:3000/api/webhooks/dialfire-sync
2026-06-25 13:16:36 +02:00: [2026-06-25T11:16:36.059Z] Polling Dialfire...
2026-06-25 13:17:36 +02:00: [2026-06-25T11:17:36.060Z] Polling Dialfire...
2026-06-25 13:18:36 +02:00: [2026-06-25T11:18:36.062Z] Polling Dialfire...
2026-06-25 13:19:36 +02:00: [2026-06-25T11:19:36.064Z] Polling Dialfire...
2026-06-25 13:20:36 +02:00: [2026-06-25T11:20:36.065Z] Polling Dialfire...
2026-06-25 13:21:36 +02:00: [2026-06-25T11:21:36.066Z] Polling Dialfire...
2026-06-25 13:22:36 +02:00: [2026-06-25T11:22:36.067Z] Polling Dialfire...
2026-06-25 13:23:36 +02:00: [2026-06-25T11:23:36.068Z] Polling Dialfire...
2026-06-25 13:24:36 +02:00: [2026-06-25T11:24:36.068Z] Polling Dialfire...
2026-06-25 13:25:36 +02:00: [2026-06-25T11:25:36.070Z] Polling Dialfire...
2026-06-25 13:26:36 +02:00: [2026-06-25T11:26:36.071Z] Polling Dialfire...
2026-06-25 13:27:36 +02:00: [2026-06-25T11:27:36.073Z] Polling Dialfire...
2026-06-25 13:28:36 +02:00: [2026-06-25T11:28:36.074Z] Polling Dialfire...
2026-06-25 13:29:36 +02:00: [2026-06-25T11:29:36.075Z] Polling Dialfire...
2026-06-25 13:30:36 +02:00: [2026-06-25T11:30:36.075Z] Polling Dialfire...
2026-06-25 13:31:36 +02:00: [2026-06-25T11:31:36.077Z] Polling Dialfire...
2026-06-25 13:32:36 +02:00: [2026-06-25T11:32:36.077Z] Polling Dialfire...
2026-06-25 13:33:36 +02:00: [2026-06-25T11:33:36.078Z] Polling Dialfire...
2026-06-25 13:34:36 +02:00: [2026-06-25T11:34:36.079Z] Polling Dialfire...
2026-06-25 13:35:36 +02:00: [2026-06-25T11:35:36.081Z] Polling Dialfire...
2026-06-25 13:36:36 +02:00: [2026-06-25T11:36:36.082Z] Polling Dialfire...
2026-06-25 13:37:36 +02:00: [2026-06-25T11:37:36.085Z] Polling Dialfire...
2026-06-25 13:38:36 +02:00: [2026-06-25T11:38:36.087Z] Polling Dialfire...
2026-06-25 13:39:36 +02:00: [2026-06-25T11:39:36.088Z] Polling Dialfire...
2026-06-25 13:40:36 +02:00: [2026-06-25T11:40:36.090Z] Polling Dialfire...
2026-06-25 13:41:36 +02:00: [2026-06-25T11:41:36.092Z] Polling Dialfire...
2026-06-25 13:42:36 +02:00: [2026-06-25T11:42:36.094Z] Polling Dialfire...
